@RELATION 	Feature11

@ATTRIBUTE 	Text	string
@ATTRIBUTE 	Class 	{Positive, Negative, Neutral}

@DATA
"מערכת ההפעלה די כבדה אבל למזלינו יש 3 ג יגה ראם",Positive
"5 המכשיר מהיר מאוד ומאפשר פתיחה של 2 תוכנות במקביל על מסך אחד",Positive
"פועל מהר ובצורה חלקה",Positive
"הטלפון עובד בצורה חלקה מאוד זה משהו",Positive
"ומהירות מעבד מצוינת",Positive
"רזולוציה מעולה מעבד חזק סוללה טובה מצלמה אחת הטובות שראיתי השתדרגה מהמכשירים הקודמים",Positive
"לאמא שלי יש את המכשיר והוא די יפה לא כל כך טוב אבל די מהיר האיכות צילום אין מה לדבר פשוט גרועה למי שגולש הרבה באינטרנט זה טוב",Positive
"מהיר נוח להפעלה",Positive
"הטלפון מהיר ביותר עם זיכרון ram של 2gb",Positive
"על ה 16 גיגה שיש לו אני מריץ 3 מערכות הפעלה במקביל אז לדעתי 16 גיגה זה מספיק",Positive
"מהיר ביותר זיכרון ram עצום 3 גיגה 64 ג זיכרון לתוכן בטריה ענקית טובה מאוד אבל לא מצוינת ציפיתי ליותר ממנה",Positive
"הטלפון הכי טוב שהיה לי הוא טלפון מהיר נורא מסך מגע מושלם מושלםם כול הפלוסים והמינוסים למטה",Positive
"טלפון טוב אחלה מצלמה עמיד מעבד טוב וטלפון עם מעבד מהיר",Positive
"מכשיר מצויין במחיר מצחיק מהיר ביותר לא נתקע וסוחב את המשחקים הכי כבדים",Positive
"אין ספק כי מדובר במכשיר טוב ביחס של מחיר/תמורה ומשמעותית מהיר יותר מהמתחרו העיקרי",Positive
"חומרה הכי חזקה שיש מהיר מאוד מסך מדהים",Positive
"המכשיר מדהים הוא מהיר המצלמה הכי טובה בשוק יפה ומלא אפשרויות אין סופיות",Positive
"האייפון מאוד מאוד מהיר ומערכת ההפעלה קלה ונוחה לשימוש",Positive
"המכשיר עובד חלק בלי שום באגים או תקיעות מצלמה נהדרת ובתנאי תאורה חלשים יוצאים תמונות טובות",Positive
"לי יש אייפון 5 פרוץ והוא לא ניתקע בכלל",Positive
"פלאפון מהיר ועובד חלק פשוט לתפעול מסך חד מרגיש כמו qued hd עמיד למים ואבק",Positive
"יש תלות באייטונס זה לא נח ומערכת הפעלה סגורה אבל עובדת ממש מהר",Positive
"עיצוב יפה מרגיש מאוד קל ביד מהירות תגובה טובה אך ללא שינוי משמעותי מהדגם הקודם",Positive
"פשוט מושלם מספיק גדול מסך איכותי זריז כשד רמקול מעולה",Positive
"מהיר בטירוף ומריץ משחקים במהירות רבה ועם איכות מסך ממש גבוהה qhd",Positive
"המכשיר עובד בצורה מעולה מהיר ברמה בלתי נתפסת לא נתקע בשום דבר עובד חלק",Positive
"כמעט ואין תקיעות",Positive
"מכשיר דק וקל משקל מהיר מעבד 4 ליבות נוח לתפעול ומסך גדול ונוח לקריאה",Positive
"טלפון מצוין קל נוח מהיר מאוד כיף לעבוד איתו",Positive
"הכול עובד חלק בלי תקיעות 64gb שזה מצוין סוללה חזקה מאוד עיצוב יפה מכשיר פצצה אין מילים",Positive
"גם מהיר גם סוללה יחסית טובה וגם מסך גדול",Positive
"מכשיר מצוין מהיר ואין תקיעות",Positive
"המצלמה טובה אפליקציות עולות מהר האינטרנט מהיר",Positive
"אבל עדיין מי שלא הרגיש את המכשיר ביד לא יבין כמה הוא מעולה מהיר ופשוט גורם הנאה צרופה לבעליו",Positive
"מומלץ מאוד מהיר מאוד מסך מעולה וגדול",Positive
"דבר ממש מוזר וטוב מאז שקניתי את המכשיר לא גיליתי בו קירטוע אחד למרות הורדתי 85 אפליקציות הוא פשוט לא נתקע מכשיר אגדי פשוט מומלץץץ בחוםםחם חייבים ליקנותת",Positive
"מהיר רמקולים חזקים סוללה חזקה מאוד ואני אחד שמשחק הרבה משחקים כבדים",Positive
"עובד חלק מהר ומסך ענק וחד",Positive
"עובד חלק מהר מסך ענק וחד בהחלט הפלאפון המדהים ביתר שיצא לי לראות",Positive
"מעבד חזק של 8 ליבות",Positive
"מכשיר מדהים ומהיר בטירוף חסין למים ואבק ממליץ לכולם על הצבע cooper שזה סוג של חום הזוי חזק יותר מכל מכשיר אחר ללא ספק עברתי מ htc one m8",Positive
"הטלפון מהיר מאד למרות גודל המסך העצום שלו",Positive
"טלפון טוב ממש מציאה למחיר שלו ממש מהיר לא נתקע בכלל",Positive
"מכשיר מדהים גדול 5 5 אך נוח לאחיזה ביד לגברים מהיר ונוח",Positive
"מכשיר מדהים מהיר ויוקרתי שווה כל שקל עברתי מאייפון לא מתחרט לרגע",Positive
"אחלה פלאפון לא נתקע בלי שום בעיות שווה לקנות כנראה למי שנתקע קנה פלאפון מזויף מכשיר זול שמביא יותר מהציפיות",Positive
"כמעט לא מורגש מרוב שהוא קל ומעבד מצויין",Positive
"אפשר לראות את זה גם כאשר משווים את זה שהמכשירי אייפון 4 שורדים כבר כמעט 3 שנים ואפשר לראות מכשירים שעדיין רצים מהר ללא תקיעות",Positive
"שימו לב זה לא גלאקסי s3 זה פלאפון אחר ראיתי מישהו שהתאכזב קשות ואני לא מבין למה יש לו מעבד כפול ליבה מסך 4 נוח לשימוש ולא ענק",Positive
"עובד בצורה חלקה במיוחד אין תקיעות רבות",Positive
"מהיר יעיל ויפה",Positive
"מעבד מהיר במיוחד",Positive
"מעבד חזק מצלמה איכותית gps מכשיר שפשוט יש בו הכל",Positive
"חומרה יציבה מאד ועדכנית זרימה טובה מעבד חזק מאד 2g זיכרון ram",Positive
"המכשיר טס המסך איכותי ממש כל החברים שלי מתלהבים ממנו",Positive
מהיר,Positive
"נוח מהיר חיי סוללה ארוכים מסך גדול ומדהים",Positive
"ועוד לא קרה שהוא נתקע לי",Positive
"מהיר מריץ משחקים בלי בעיה",Positive
"מערכת הפעלה מוצלחת מעבד מדהים",Positive
"מהיר מאוד",Positive
"מכשיר מדהים אין כמוהו מהיר מצוין מריץ את כל האפליקציות ותומך בכל הדברים החדשים בשוק",Positive
"פלאפון מהיר מקצועי ומתאים לכל אחד",Positive
"מי שלא מכיר שידע כי אלו הסמרטפונים htc הטובים ביותר בכל השוואה שהיא ובעינין השרות הם לא מתקלקלים ולעולם לא נתקעים",Positive
"מעבד מהיר במיוחד ומצלמה טובה",Positive
"יש במכשיר רזולצייה מעולה ומעבד טוב למשחקים ותוכנות והמסך 4 3 מעולה ומתאים בול לכף היד",Positive
"יש ביצועים מדהימים ושווה כל שקל ואוגרה",Positive
"המכשיר פשוט טוב מאוד הכל תקין יושב טוב על היד בהחלט מהיר מצלמה טובה",Positive
"סוללה חזקה במיוחד זיכרון מספק מאבד עוצמתי",Positive
מהיר,Positive
"מכשיר מעולה שמגיב היטב ליישומים השונים כמעט ללא עצירות",Positive
"הטלפון הכי טוב שאפשר להשיג במחיר סביר עובד מעולה לא נתקע ולא כלום",Positive
"עיצוב מדהים איכות מטורפת איכות שיחה כיפית ונוחה מצלמה טובה מאוד מהירות המכשיר אין בכלל על מה לדבר",Positive
"לסיכום מכשיר מאוד כיפי נוח מהיר יפה אך למי שיש לו אייפון 4 לא נראה כלכך חשוב לשדרג במלים אחרות מכשיר מדהיםם",Positive
"זריז מספיק",Positive
"יש לי את המכשיר כבר כמעט שנה ואני מרוצה מאוד למעט הזכרון הפנימי שלא גדול מספיק 8 ג יגה כי רק מערכת ההפעלה תופסת 5 ג יגה",Positive
"המכשיר עובד מאוד מהר ובלי תקיעות",Positive
"ביצועים טובים למשחקים",Positive
"קל לתפעול מהיר מאוד בתגובות בקיצור הפלאפון הכי טוב שהיה לי בכל אופן אחרי האייפון 4s",Positive
"המעבד והזכרון נותנים חבילת ביצועים מעולה",Positive
"אין לאגים אין תקיעות",Positive
"אולי במכשירים אחר יש קצת מפרט יותר טוב אבל בפועל בגלל שהממשק sense הוא ממש קל אז הוא הרבה יותר זריז",Positive
"הממשק ממש נוח והביצועים מטורפים",Positive
"יש לו ממשק מעולה והוא מהיר מאוד",Positive
"מהיר יותר מכל מכשיר שווה לקנות",Positive
"2 ישנן לפעמים תקיעות קטנות מעצבנות כאלו בעיקר בכניסה לתפריט אך הדבר לא מפריע כלל לשימוש השוטף ואני גם מניחה שהוא יפתר בעדכונים הבאים",Negative
"המכשיר לעתים נוטה להתחמם",Negative
"החלפתי לפלאפון הזה מ lg g2 mini ואני רק רוצה להגיד שהוא לא מריץ חלק את הגרסא ושה lg g2 mini יותר מהיר ממנו במשחקים אני יחליף חזרה לפלאפון הקודם",Negative
"רכשתי את המכשיר לאחר הרבה התלבטויות אם לקנות אותו בגלל המחיר ובגלל איטיות שמאפיינת את מכשירי סמסונג אבל חייב לציין שאני מרוצה מאוד",Negative
"המכשיר נתקע לפחות 6 עד 7 פעמים ביום ודווקא ברגעים הכי קריטיים אני בשיחות עם לקוחות כל היום",Negative
"ממליץ עליו אך קחו בחשבון כי לאחר תקופה מסוימת ייתכן שיעבוד לאט",Negative
"אך עם זאת לאחר שנה וקצת הפלאפון לא סוחב ועם כל הכבוד לכך שהממשק מעוצב בצורה יפה הוא צריך לעבור ליטוש נוסף אפליקציות מיותרות שלא ניתן למחוק ובאגים ולאגים פה ושם",Negative
"טלפון נחמד לשוק הביניים לא יותר מזה מדי פעם מקרטע",Negative
איטי,Negative
"היה לי lgg2 הרבה יותר מהיר",Negative
"ודיי איטי הוא לא ממש שווה את הכסף",Negative
"הפלאפון מתחמם מהר מאוד",Negative
"המכשיר נתקע כל הזמן כבד איטי ומסורבל",Negative
"הפלאפון מתחמם מהר",Negative
"הרבה מאוד פעמים הטלפון נתקע מזל שהסוללה נשלפת כי רק ככה אפשר לחדש את העפולה",Negative
"הטלפון מתחמם נורא",Negative
"מכשיר מתחמם אש גם לאחר בדיקה והחלפת מכשיר בחדש השחדש גם התחמם אש זהירות",Negative
"נתקע ולא עובד יותר כבר יותר משבוע",Negative
"מכשיר ממוצע עם מחיר גבוה ביחס לזיכרון אבל כל הזמן נתקע וצריך לעשות ריסטרט 15 פעמים ביום",Negative
